GEOID,YEAR,NAME,TRACT_NAME,COUNTY,STATE,NO2_mgm3
4027012100,2020,"Census Tract 121, Yuma County, Arizona",Census Tract 121,Yuma County,Arizona,2.747924255
4027000200,2020,"Census Tract 2, Yuma County, Arizona",Census Tract 2,Yuma County,Arizona,22.32593769
4027000301,2020,"Census Tract 3.01, Yuma County, Arizona",Census Tract 3.01,Yuma County,Arizona,17.85280183
4027000908,2020,"Census Tract 9.08, Yuma County, Arizona",Census Tract 9.08,Yuma County,Arizona,11.06805319
4027011000,2020,"Census Tract 110, Yuma County, Arizona",Census Tract 110,Yuma County,Arizona,9.37316041
4027000902,2020,"Census Tract 9.02, Yuma County, Arizona",Census Tract 9.02,Yuma County,Arizona,20.84139935
4027010913,2020,"Census Tract 109.13, Yuma County, Arizona",Census Tract 109.13,Yuma County,Arizona,15.74517358
4027011112,2020,"Census Tract 111.12, Yuma County, Arizona",Census Tract 111.12,Yuma County,Arizona,15.33092998
4027011107,2020,"Census Tract 111.07, Yuma County, Arizona",Census Tract 111.07,Yuma County,Arizona,12.56388545
4027010914,2020,"Census Tract 109.14, Yuma County, Arizona",Census Tract 109.14,Yuma County,Arizona,4.839929624
4027011202,2020,"Census Tract 112.02, Yuma County, Arizona",Census Tract 112.02,Yuma County,Arizona,6.949972888
4027000302,2020,"Census Tract 3.02, Yuma County, Arizona",Census Tract 3.02,Yuma County,Arizona,22.32593769
4027000402,2020,"Census Tract 4.02, Yuma County, Arizona",Census Tract 4.02,Yuma County,Arizona,16.54665028
4027000600,2020,"Census Tract 6, Yuma County, Arizona",Census Tract 6,Yuma County,Arizona,22.32593769
4027000700,2020,"Census Tract 7, Yuma County, Arizona",Census Tract 7,Yuma County,Arizona,23.18462753
4019004325,2020,"Census Tract 43.25, Pima County, Arizona",Census Tract 43.25,Pima County,Arizona,4.852883049
4027000800,2020,"Census Tract 8, Yuma County, Arizona",Census Tract 8,Yuma County,Arizona,22.75528261
4027000901,2020,"Census Tract 9.01, Yuma County, Arizona",Census Tract 9.01,Yuma County,Arizona,22.32593769
4027000903,2020,"Census Tract 9.03, Yuma County, Arizona",Census Tract 9.03,Yuma County,Arizona,18.70575999
4027001100,2020,"Census Tract 11, Yuma County, Arizona",Census Tract 11,Yuma County,Arizona,20.60855801
4027001200,2020,"Census Tract 12, Yuma County, Arizona",Census Tract 12,Yuma County,Arizona,22.36221718
4027011501,2020,"Census Tract 115.01, Yuma County, Arizona",Census Tract 115.01,Yuma County,Arizona,10.06292301
4027000100,2020,"Census Tract 1, Yuma County, Arizona",Census Tract 1,Yuma County,Arizona,23.79797742
4021000902,2020,"Census Tract 9.02, Pinal County, Arizona",Census Tract 9.02,Pinal County,Arizona,17.02143879
4021000310,2020,"Census Tract 3.10, Pinal County, Arizona",Census Tract 3.10,Pinal County,Arizona,19.20485897
4021000312,2020,"Census Tract 3.12, Pinal County, Arizona",Census Tract 3.12,Pinal County,Arizona,20.6016216
4003000202,2020,"Census Tract 2.02, Cochise County, Arizona",Census Tract 2.02,Cochise County,Arizona,14.81553421
4003000203,2020,"Census Tract 2.03, Cochise County, Arizona",Census Tract 2.03,Cochise County,Arizona,5.651064203
4003000201,2020,"Census Tract 2.01, Cochise County, Arizona",Census Tract 2.01,Cochise County,Arizona,4.446809319
4003002002,2020,"Census Tract 20.02, Cochise County, Arizona",Census Tract 20.02,Cochise County,Arizona,7.899746741
4003000902,2020,"Census Tract 9.02, Cochise County, Arizona",Census Tract 9.02,Cochise County,Arizona,27.75540981
4003000901,2020,"Census Tract 9.01, Cochise County, Arizona",Census Tract 9.01,Cochise County,Arizona,31.5107547
4003001602,2020,"Census Tract 16.02, Cochise County, Arizona",Census Tract 16.02,Cochise County,Arizona,23.38691988
4003001601,2020,"Census Tract 16.01, Cochise County, Arizona",Census Tract 16.01,Cochise County,Arizona,23.44106473
4003001701,2020,"Census Tract 17.01, Cochise County, Arizona",Census Tract 17.01,Cochise County,Arizona,21.97718128
4003001502,2020,"Census Tract 15.02, Cochise County, Arizona",Census Tract 15.02,Cochise County,Arizona,22.13269361
4003001501,2020,"Census Tract 15.01, Cochise County, Arizona",Census Tract 15.01,Cochise County,Arizona,24.82110764
4005000400,2020,"Census Tract 4, Coconino County, Arizona",Census Tract 4,Coconino County,Arizona,19.67709643
4005001000,2020,"Census Tract 10, Coconino County, Arizona",Census Tract 10,Coconino County,Arizona,20.07370495
4005002000,2020,"Census Tract 20, Coconino County, Arizona",Census Tract 20,Coconino County,Arizona,3.416526768
4005000200,2020,"Census Tract 2, Coconino County, Arizona",Census Tract 2,Coconino County,Arizona,16.11875803
4021000313,2020,"Census Tract 3.13, Pinal County, Arizona",Census Tract 3.13,Pinal County,Arizona,20.93109493
4021001408,2020,"Census Tract 14.08, Pinal County, Arizona",Census Tract 14.08,Pinal County,Arizona,11.79677996
4021001305,2020,"Census Tract 13.05, Pinal County, Arizona",Census Tract 13.05,Pinal County,Arizona,13.04507938
4021001306,2020,"Census Tract 13.06, Pinal County, Arizona",Census Tract 13.06,Pinal County,Arizona,13.80676423
4021001405,2020,"Census Tract 14.05, Pinal County, Arizona",Census Tract 14.05,Pinal County,Arizona,15.09328916
4021001406,2020,"Census Tract 14.06, Pinal County, Arizona",Census Tract 14.06,Pinal County,Arizona,13.21361037
4021001403,2020,"Census Tract 14.03, Pinal County, Arizona",Census Tract 14.03,Pinal County,Arizona,15.42053749
4021000208,2020,"Census Tract 2.08, Pinal County, Arizona",Census Tract 2.08,Pinal County,Arizona,6.580073637
4019004029,2020,"Census Tract 40.29, Pima County, Arizona",Census Tract 40.29,Pima County,Arizona,15.74694799
4019004030,2020,"Census Tract 40.30, Pima County, Arizona",Census Tract 40.30,Pima County,Arizona,17.20483997
4019004031,2020,"Census Tract 40.31, Pima County, Arizona",Census Tract 40.31,Pima County,Arizona,17.37314084
4019004032,2020,"Census Tract 40.32, Pima County, Arizona",Census Tract 40.32,Pima County,Arizona,17.95151942
4019002702,2020,"Census Tract 27.02, Pima County, Arizona",Census Tract 27.02,Pima County,Arizona,20.50640037
4019002801,2020,"Census Tract 28.01, Pima County, Arizona",Census Tract 28.01,Pima County,Arizona,20.14663864
4019002802,2020,"Census Tract 28.02, Pima County, Arizona",Census Tract 28.02,Pima County,Arizona,21.58568554
4019004034,2020,"Census Tract 40.34, Pima County, Arizona",Census Tract 40.34,Pima County,Arizona,18.17562078
4019004035,2020,"Census Tract 40.35, Pima County, Arizona",Census Tract 40.35,Pima County,Arizona,15.14340192
4019004038,2020,"Census Tract 40.38, Pima County, Arizona",Census Tract 40.38,Pima County,Arizona,16.37682606
4019004043,2020,"Census Tract 40.43, Pima County, Arizona",Census Tract 40.43,Pima County,Arizona,16.06188703
4019004044,2020,"Census Tract 40.44, Pima County, Arizona",Census Tract 40.44,Pima County,Arizona,12.98540159
4019004042,2020,"Census Tract 40.42, Pima County, Arizona",Census Tract 40.42,Pima County,Arizona,17.63658129
4019004047,2020,"Census Tract 40.47, Pima County, Arizona",Census Tract 40.47,Pima County,Arizona,16.85889457
4019004048,2020,"Census Tract 40.48, Pima County, Arizona",Census Tract 40.48,Pima County,Arizona,18.89633741
4019004049,2020,"Census Tract 40.49, Pima County, Arizona",Census Tract 40.49,Pima County,Arizona,17.00670322
4019004050,2020,"Census Tract 40.50, Pima County, Arizona",Census Tract 40.50,Pima County,Arizona,12.42183162
4019004046,2020,"Census Tract 40.46, Pima County, Arizona",Census Tract 40.46,Pima County,Arizona,17.21666228
4019004056,2020,"Census Tract 40.56, Pima County, Arizona",Census Tract 40.56,Pima County,Arizona,14.6093615
4019004057,2020,"Census Tract 40.57, Pima County, Arizona",Census Tract 40.57,Pima County,Arizona,14.86321571
4019004058,2020,"Census Tract 40.58, Pima County, Arizona",Census Tract 40.58,Pima County,Arizona,10.95579149
4019004110,2020,"Census Tract 41.10, Pima County, Arizona",Census Tract 41.10,Pima County,Arizona,20.05142269
4019004054,2020,"Census Tract 40.54, Pima County, Arizona",Census Tract 40.54,Pima County,Arizona,12.06088464
4019004310,2020,"Census Tract 43.10, Pima County, Arizona",Census Tract 43.10,Pima County,Arizona,14.50261616
4019004321,2020,"Census Tract 43.21, Pima County, Arizona",Census Tract 43.21,Pima County,Arizona,13.6962838
4019004112,2020,"Census Tract 41.12, Pima County, Arizona",Census Tract 41.12,Pima County,Arizona,18.96381678
4019004647,2020,"Census Tract 46.47, Pima County, Arizona",Census Tract 46.47,Pima County,Arizona,23.29825216
4019004613,2020,"Census Tract 46.13, Pima County, Arizona",Census Tract 46.13,Pima County,Arizona,23.14622793
4019004614,2020,"Census Tract 46.14, Pima County, Arizona",Census Tract 46.14,Pima County,Arizona,21.05073791
4019004627,2020,"Census Tract 46.27, Pima County, Arizona",Census Tract 46.27,Pima County,Arizona,22.19896038
4019004630,2020,"Census Tract 46.30, Pima County, Arizona",Census Tract 46.30,Pima County,Arizona,15.44192822
4019004631,2020,"Census Tract 46.31, Pima County, Arizona",Census Tract 46.31,Pima County,Arizona,15.7501248
4019004632,2020,"Census Tract 46.32, Pima County, Arizona",Census Tract 46.32,Pima County,Arizona,19.51712902
4019004404,2020,"Census Tract 44.04, Pima County, Arizona",Census Tract 44.04,Pima County,Arizona,14.26879755
4019004407,2020,"Census Tract 44.07, Pima County, Arizona",Census Tract 44.07,Pima County,Arizona,17.45043766
4019004413,2020,"Census Tract 44.13, Pima County, Arizona",Census Tract 44.13,Pima County,Arizona,17.99606735
4019004414,2020,"Census Tract 44.14, Pima County, Arizona",Census Tract 44.14,Pima County,Arizona,18.58748725
4019004615,2020,"Census Tract 46.15, Pima County, Arizona",Census Tract 46.15,Pima County,Arizona,22.58170113
4019004616,2020,"Census Tract 46.16, Pima County, Arizona",Census Tract 46.16,Pima County,Arizona,22.96444143
4019004617,2020,"Census Tract 46.17, Pima County, Arizona",Census Tract 46.17,Pima County,Arizona,21.94379973
4019004618,2020,"Census Tract 46.18, Pima County, Arizona",Census Tract 46.18,Pima County,Arizona,22.96444197
4019004322,2020,"Census Tract 43.22, Pima County, Arizona",Census Tract 43.22,Pima County,Arizona,14.14316623
4019004634,2020,"Census Tract 46.34, Pima County, Arizona",Census Tract 46.34,Pima County,Arizona,18.98056221
4019004636,2020,"Census Tract 46.36, Pima County, Arizona",Census Tract 46.36,Pima County,Arizona,19.8774198
4019004717,2020,"Census Tract 47.17, Pima County, Arizona",Census Tract 47.17,Pima County,Arizona,12.09147709
4019004718,2020,"Census Tract 47.18, Pima County, Arizona",Census Tract 47.18,Pima County,Arizona,16.18926326
4019004505,2020,"Census Tract 45.05, Pima County, Arizona",Census Tract 45.05,Pima County,Arizona,23.34718241
4019004506,2020,"Census Tract 45.06, Pima County, Arizona",Census Tract 45.06,Pima County,Arizona,24.18921201
4019004508,2020,"Census Tract 45.08, Pima County, Arizona",Census Tract 45.08,Pima County,Arizona,25.00572514
