GEOID,YEAR,NAME,TRACT_NAME,COUNTY,STATE,NO2_mgm3
41019100000,2020,"Census Tract 1000, Douglas County, Oregon",Census Tract 1000,Douglas County,Oregon,2.938166438
41019180000,2020,"Census Tract 1800, Douglas County, Oregon",Census Tract 1800,Douglas County,Oregon,5.472106549
41019200000,2020,"Census Tract 2000, Douglas County, Oregon",Census Tract 2000,Douglas County,Oregon,4.963234242
41019020000,2020,"Census Tract 200, Douglas County, Oregon",Census Tract 200,Douglas County,Oregon,1.973645931
41019070000,2020,"Census Tract 700, Douglas County, Oregon",Census Tract 700,Douglas County,Oregon,2.013051621
41005022708,2020,"Census Tract 227.08, Clackamas County, Oregon",Census Tract 227.08,Clackamas County,Oregon,8.364341348
41005022302,2020,"Census Tract 223.02, Clackamas County, Oregon",Census Tract 223.02,Clackamas County,Oregon,8.622128563
41005022606,2020,"Census Tract 226.06, Clackamas County, Oregon",Census Tract 226.06,Clackamas County,Oregon,11.36014148
41005022707,2020,"Census Tract 227.07, Clackamas County, Oregon",Census Tract 227.07,Clackamas County,Oregon,10.93007708
41005022907,2020,"Census Tract 229.07, Clackamas County, Oregon",Census Tract 229.07,Clackamas County,Oregon,11.77162336
41005023002,2020,"Census Tract 230.02, Clackamas County, Oregon",Census Tract 230.02,Clackamas County,Oregon,6.966342671
41005023001,2020,"Census Tract 230.01, Clackamas County, Oregon",Census Tract 230.01,Clackamas County,Oregon,6.753048626
41005020303,2020,"Census Tract 203.03, Clackamas County, Oregon",Census Tract 203.03,Clackamas County,Oregon,14.50374713
41005020304,2020,"Census Tract 203.04, Clackamas County, Oregon",Census Tract 203.04,Clackamas County,Oregon,15.56499744
41005020401,2020,"Census Tract 204.01, Clackamas County, Oregon",Census Tract 204.01,Clackamas County,Oregon,13.74571183
41005020800,2020,"Census Tract 208, Clackamas County, Oregon",Census Tract 208,Clackamas County,Oregon,16.17386173
41005022208,2020,"Census Tract 222.08, Clackamas County, Oregon",Census Tract 222.08,Clackamas County,Oregon,10.98924347
41005022301,2020,"Census Tract 223.01, Clackamas County, Oregon",Census Tract 223.01,Clackamas County,Oregon,9.155521721
41005021300,2020,"Census Tract 213, Clackamas County, Oregon",Census Tract 213,Clackamas County,Oregon,12.65951414
41005021900,2020,"Census Tract 219, Clackamas County, Oregon",Census Tract 219,Clackamas County,Oregon,13.63613623
41029000201,2020,"Census Tract 2.01, Jackson County, Oregon",Census Tract 2.01,Jackson County,Oregon,13.76176198
41029000202,2020,"Census Tract 2.02, Jackson County, Oregon",Census Tract 2.02,Jackson County,Oregon,12.6519424
41029000300,2020,"Census Tract 3, Jackson County, Oregon",Census Tract 3,Jackson County,Oregon,14.69693861
