GEOID,YEAR,NAME,TRACT_NAME,COUNTY,STATE,NO2_mgm3
35006941500,2020,"Census Tract 9415, Cibola County, New Mexico",Census Tract 9415,Cibola County,New Mexico,2.649325005
35006974201,2020,"Census Tract 9742.01, Cibola County, New Mexico",Census Tract 9742.01,Cibola County,New Mexico,16.7699094
35006945800,2020,"Census Tract 9458, Cibola County, New Mexico",Census Tract 9458,Cibola County,New Mexico,2.591725875
35061970901,2020,"Census Tract 9709.01, Valencia County, New Mexico",Census Tract 9709.01,Valencia County,New Mexico,13.44349151
35061970902,2020,"Census Tract 9709.02, Valencia County, New Mexico",Census Tract 9709.02,Valencia County,New Mexico,15.28706217
35061971100,2020,"Census Tract 9711, Valencia County, New Mexico",Census Tract 9711,Valencia County,New Mexico,5.433494038
35061940300,2020,"Census Tract 9403, Valencia County, New Mexico",Census Tract 9403,Valencia County,New Mexico,3.030266927
35028000200,2020,"Census Tract 2, Los Alamos County, New Mexico",Census Tract 2,Los Alamos County,New Mexico,6.57901478
35028000500,2020,"Census Tract 5, Los Alamos County, New Mexico",Census Tract 5,Los Alamos County,New Mexico,10.16645283
35028000100,2020,"Census Tract 1, Los Alamos County, New Mexico",Census Tract 1,Los Alamos County,New Mexico,4.852921775
35028000400,2020,"Census Tract 4, Los Alamos County, New Mexico",Census Tract 4,Los Alamos County,New Mexico,11.17022031
35025000200,2020,"Census Tract 2, Lea County, New Mexico",Census Tract 2,Lea County,New Mexico,19.02749062
35025000400,2020,"Census Tract 4, Lea County, New Mexico",Census Tract 4,Lea County,New Mexico,18.25310107
35045000503,2020,"Census Tract 5.03, San Juan County, New Mexico",Census Tract 5.03,San Juan County,New Mexico,7.48508463
35043940700,2020,"Census Tract 9407, Sandoval County, New Mexico",Census Tract 9407,Sandoval County,New Mexico,6.741225308
35045000610,2020,"Census Tract 6.10, San Juan County, New Mexico",Census Tract 6.10,San Juan County,New Mexico,8.108285575
35045000611,2020,"Census Tract 6.11, San Juan County, New Mexico",Census Tract 6.11,San Juan County,New Mexico,6.311308707
35045000705,2020,"Census Tract 7.05, San Juan County, New Mexico",Census Tract 7.05,San Juan County,New Mexico,7.226615205
35045000706,2020,"Census Tract 7.06, San Juan County, New Mexico",Census Tract 7.06,San Juan County,New Mexico,5.879253215
35045942801,2020,"Census Tract 9428.01, San Juan County, New Mexico",Census Tract 9428.01,San Juan County,New Mexico,4.279869224
35045942802,2020,"Census Tract 9428.02, San Juan County, New Mexico",Census Tract 9428.02,San Juan County,New Mexico,5.602584076
35043010601,2020,"Census Tract 106.01, Sandoval County, New Mexico",Census Tract 106.01,Sandoval County,New Mexico,12.60531699
35001004716,2020,"Census Tract 47.16, Bernalillo County, New Mexico",Census Tract 47.16,Bernalillo County,New Mexico,21.94574336
35001003805,2020,"Census Tract 38.05, Bernalillo County, New Mexico",Census Tract 38.05,Bernalillo County,New Mexico,6.012057496
35025001100,2020,"Census Tract 11, Lea County, New Mexico",Census Tract 11,Lea County,New Mexico,6.888722178
35025000100,2020,"Census Tract 1, Lea County, New Mexico",Census Tract 1,Lea County,New Mexico,20.14186234
35025000900,2020,"Census Tract 9, Lea County, New Mexico",Census Tract 9,Lea County,New Mexico,6.401482312
35025000800,2020,"Census Tract 8, Lea County, New Mexico",Census Tract 8,Lea County,New Mexico,8.26767622
35025000300,2020,"Census Tract 3, Lea County, New Mexico",Census Tract 3,Lea County,New Mexico,15.95528871
35051962200,2020,"Census Tract 9622, Sierra County, New Mexico",Census Tract 9622,Sierra County,New Mexico,19.86507459
35051962300,2020,"Census Tract 9623, Sierra County, New Mexico",Census Tract 9623,Sierra County,New Mexico,22.29921688
35043940200,2020,"Census Tract 9402, Sandoval County, New Mexico",Census Tract 9402,Sandoval County,New Mexico,6.892659896
35043010702,2020,"Census Tract 107.02, Sandoval County, New Mexico",Census Tract 107.02,Sandoval County,New Mexico,16.43091208
35043010900,2020,"Census Tract 109, Sandoval County, New Mexico",Census Tract 109,Sandoval County,New Mexico,3.487603206
35043940600,2020,"Census Tract 9406, Sandoval County, New Mexico",Census Tract 9406,Sandoval County,New Mexico,6.116764887
35043010714,2020,"Census Tract 107.14, Sandoval County, New Mexico",Census Tract 107.14,Sandoval County,New Mexico,16.35607494
35047957800,2020,"Census Tract 9578, San Miguel County, New Mexico",Census Tract 9578,San Miguel County,New Mexico,18.92020259
35047957700,2020,"Census Tract 9577, San Miguel County, New Mexico",Census Tract 9577,San Miguel County,New Mexico,3.991091213
35047957200,2020,"Census Tract 9572, San Miguel County, New Mexico",Census Tract 9572,San Miguel County,New Mexico,18.42100642
35047957400,2020,"Census Tract 9574, San Miguel County, New Mexico",Census Tract 9574,San Miguel County,New Mexico,19.79369413
35047957300,2020,"Census Tract 9573, San Miguel County, New Mexico",Census Tract 9573,San Miguel County,New Mexico,23.05061616
35059950200,2020,"Census Tract 9502, Union County, New Mexico",Census Tract 9502,Union County,New Mexico,5.374733838
35013001705,2020,"Census Tract 17.05, Doña Ana County, New Mexico",Census Tract 17.05,Doña Ana County,New Mexico,19.55570293
35057963201,2020,"Census Tract 9632.01, Torrance County, New Mexico",Census Tract 9632.01,Torrance County,New Mexico,6.536866448
35057963202,2020,"Census Tract 9632.02, Torrance County, New Mexico",Census Tract 9632.02,Torrance County,New Mexico,10.77848439
35049000600,2020,"Census Tract 6, Santa Fe County, New Mexico",Census Tract 6,Santa Fe County,New Mexico,21.93837379
35049010102,2020,"Census Tract 101.02, Santa Fe County, New Mexico",Census Tract 101.02,Santa Fe County,New Mexico,5.810115985
35049010400,2020,"Census Tract 104, Santa Fe County, New Mexico",Census Tract 104,Santa Fe County,New Mexico,8.093572724
35061970401,2020,"Census Tract 9704.01, Valencia County, New Mexico",Census Tract 9704.01,Valencia County,New Mexico,12.29024194
35061970200,2020,"Census Tract 9702, Valencia County, New Mexico",Census Tract 9702,Valencia County,New Mexico,10.30221442
35041000200,2020,"Census Tract 2, Roosevelt County, New Mexico",Census Tract 2,Roosevelt County,New Mexico,20.30014479
35041000300,2020,"Census Tract 3, Roosevelt County, New Mexico",Census Tract 3,Roosevelt County,New Mexico,17.04108841
35005000201,2020,"Census Tract 2.01, Chaves County, New Mexico",Census Tract 2.01,Chaves County,New Mexico,17.85491854
35025000502,2020,"Census Tract 5.02, Lea County, New Mexico",Census Tract 5.02,Lea County,New Mexico,18.65060567
35025000600,2020,"Census Tract 6, Lea County, New Mexico",Census Tract 6,Lea County,New Mexico,19.08357171
35025001003,2020,"Census Tract 10.03, Lea County, New Mexico",Census Tract 10.03,Lea County,New Mexico,16.7917504
35011960100,2020,"Census Tract 9601, De Baca County, New Mexico",Census Tract 9601,De Baca County,New Mexico,4.596267036
35043010719,2020,"Census Tract 107.19, Sandoval County, New Mexico",Census Tract 107.19,Sandoval County,New Mexico,18.72103048
