GEOID,YEAR,NAME,TRACT_NAME,COUNTY,STATE,NO2_mgm3
51085320100,2020,"Census Tract 3201, Hanover County, Virginia",Census Tract 3201,Hanover County,Virginia,5.480584259
51085321201,2020,"Census Tract 3212.01, Hanover County, Virginia",Census Tract 3212.01,Hanover County,Virginia,11.17179478
51085321202,2020,"Census Tract 3212.02, Hanover County, Virginia",Census Tract 3212.02,Hanover County,Virginia,9.755474135
51085320400,2020,"Census Tract 3204, Hanover County, Virginia",Census Tract 3204,Hanover County,Virginia,9.223354188
51810045000,2020,"Census Tract 450, Virginia Beach city, Virginia",Census Tract 450,Virginia Beach city,Virginia,8.471932515
51683910100,2020,"Census Tract 9101, Manassas city, Virginia",Census Tract 9101,Manassas city,Virginia,10.98734166
51199050206,2020,"Census Tract 502.06, York County, Virginia",Census Tract 502.06,York County,Virginia,8.150093167
51199050500,2020,"Census Tract 505, York County, Virginia",Census Tract 505,York County,Virginia,5.786470166
51199050401,2020,"Census Tract 504.01, York County, Virginia",Census Tract 504.01,York County,Virginia,4.424089681
51199050205,2020,"Census Tract 502.05, York County, Virginia",Census Tract 502.05,York County,Virginia,8.737653178
51087201002,2020,"Census Tract 2010.02, Henrico County, Virginia",Census Tract 2010.02,Henrico County,Virginia,14.32008682
51087201003,2020,"Census Tract 2010.03, Henrico County, Virginia",Census Tract 2010.03,Henrico County,Virginia,14.6383109
51087201102,2020,"Census Tract 2011.02, Henrico County, Virginia",Census Tract 2011.02,Henrico County,Virginia,12.49723873
51031020402,2020,"Census Tract 204.02, Campbell County, Virginia",Census Tract 204.02,Campbell County,Virginia,10.84587597
51177020106,2020,"Census Tract 201.06, Spotsylvania County, Virginia",Census Tract 201.06,Spotsylvania County,Virginia,6.179395792
51810041002,2020,"Census Tract 410.02, Virginia Beach city, Virginia",Census Tract 410.02,Virginia Beach city,Virginia,17.75325326
51740213200,2020,"Census Tract 2132, Portsmouth city, Virginia",Census Tract 2132,Portsmouth city,Virginia,22.57444187
51099040200,2020,"Census Tract 402, King George County, Virginia",Census Tract 402,King George County,Virginia,7.068384525
51099040400,2020,"Census Tract 404, King George County, Virginia",Census Tract 404,King George County,Virginia,7.475920724
