GEOID,YEAR,NAME,TRACT_NAME,COUNTY,STATE,NO2_mgm3
29510123200,2020,"Census Tract 1232, St. Louis city, Missouri",Census Tract 1232,St. Louis city,Missouri,21.90902569
29510124600,2020,"Census Tract 1246, St. Louis city, Missouri",Census Tract 1246,St. Louis city,Missouri,20.3875651
29510125500,2020,"Census Tract 1255, St. Louis city, Missouri",Census Tract 1255,St. Louis city,Missouri,25.56052967
29101980000,2020,"Census Tract 9800, Johnson County, Missouri",Census Tract 9800,Johnson County,Missouri,9.172888386
29101960900,2020,"Census Tract 9609, Johnson County, Missouri",Census Tract 9609,Johnson County,Missouri,6.158137324
29101960200,2020,"Census Tract 9602, Johnson County, Missouri",Census Tract 9602,Johnson County,Missouri,7.345560172
29101960600,2020,"Census Tract 9606, Johnson County, Missouri",Census Tract 9606,Johnson County,Missouri,11.94160549
29183311422,2020,"Census Tract 3114.22, St. Charles County, Missouri",Census Tract 3114.22,St. Charles County,Missouri,15.92275993
29183310903,2020,"Census Tract 3109.03, St. Charles County, Missouri",Census Tract 3109.03,St. Charles County,Missouri,14.81234599
29183311322,2020,"Census Tract 3113.22, St. Charles County, Missouri",Census Tract 3113.22,St. Charles County,Missouri,14.73060724
29183312001,2020,"Census Tract 3120.01, St. Charles County, Missouri",Census Tract 3120.01,St. Charles County,Missouri,6.61665672
29183311802,2020,"Census Tract 3118.02, St. Charles County, Missouri",Census Tract 3118.02,St. Charles County,Missouri,13.68605172
29183311212,2020,"Census Tract 3112.12, St. Charles County, Missouri",Census Tract 3112.12,St. Charles County,Missouri,15.68823714
29183310902,2020,"Census Tract 3109.02, St. Charles County, Missouri",Census Tract 3109.02,St. Charles County,Missouri,15.305268
29183311103,2020,"Census Tract 3111.03, St. Charles County, Missouri",Census Tract 3111.03,St. Charles County,Missouri,10.43725826
29183311001,2020,"Census Tract 3110.01, St. Charles County, Missouri",Census Tract 3110.01,St. Charles County,Missouri,14.97829628
29183311312,2020,"Census Tract 3113.12, St. Charles County, Missouri",Census Tract 3113.12,St. Charles County,Missouri,14.01722404
29077002502,2020,"Census Tract 25.02, Greene County, Missouri",Census Tract 25.02,Greene County,Missouri,14.02167683
29171960200,2020,"Census Tract 9602, Putnam County, Missouri",Census Tract 9602,Putnam County,Missouri,7.168859722
29171960100,2020,"Census Tract 9601, Putnam County, Missouri",Census Tract 9601,Putnam County,Missouri,5.936405628
29023950202,2020,"Census Tract 9502.02, Butler County, Missouri",Census Tract 9502.02,Butler County,Missouri,6.85752778
29019001503,2020,"Census Tract 15.03, Boone County, Missouri",Census Tract 15.03,Boone County,Missouri,11.28525999
29019001201,2020,"Census Tract 12.01, Boone County, Missouri",Census Tract 12.01,Boone County,Missouri,11.82259703
29023950201,2020,"Census Tract 9502.01, Butler County, Missouri",Census Tract 9502.01,Butler County,Missouri,5.783312224
29071800901,2020,"Census Tract 8009.01, Franklin County, Missouri",Census Tract 8009.01,Franklin County,Missouri,6.414721547
29077000502,2020,"Census Tract 5.02, Greene County, Missouri",Census Tract 5.02,Greene County,Missouri,16.2868203
29077000501,2020,"Census Tract 5.01, Greene County, Missouri",Census Tract 5.01,Greene County,Missouri,14.92958467
29187950902,2020,"Census Tract 9509.02, St. Francois County, Missouri",Census Tract 9509.02,St. Francois County,Missouri,12.12696236
29001950100,2020,"Census Tract 9501, Adair County, Missouri",Census Tract 9501,Adair County,Missouri,7.091678608
29001950300,2020,"Census Tract 9503, Adair County, Missouri",Census Tract 9503,Adair County,Missouri,9.472283151
29001950400,2020,"Census Tract 9504, Adair County, Missouri",Census Tract 9504,Adair County,Missouri,9.539967963
29001951000,2020,"Census Tract 9510, Adair County, Missouri",Census Tract 9510,Adair County,Missouri,13.02204203
29001950200,2020,"Census Tract 9502, Adair County, Missouri",Census Tract 9502,Adair County,Missouri,6.381041242
29001950900,2020,"Census Tract 9509, Adair County, Missouri",Census Tract 9509,Adair County,Missouri,14.46893559
29077002402,2020,"Census Tract 24.02, Greene County, Missouri",Census Tract 24.02,Greene County,Missouri,14.90826252
29183311132,2020,"Census Tract 3111.32, St. Charles County, Missouri",Census Tract 3111.32,St. Charles County,Missouri,8.564339568
29189210926,2020,"Census Tract 2109.26, St. Louis County, Missouri",Census Tract 2109.26,St. Louis County,Missouri,14.31389568
29199480200,2020,"Census Tract 4802, Scotland County, Missouri",Census Tract 4802,Scotland County,Missouri,9.258896866
