"","STATE.x","AttributableCases","LowerAttributableCases","UpperAttributableCases"
"1","Alabama",1199,578,1665
"2","Alaska",171,83,235
"3","Arizona",3113,1531,4256
"4","Arkansas",708,341,984
"5","California",16657,8184,22790
"6","Colorado",2090,1019,2876
"7","Connecticut",1160,563,1603
"8","Delaware",301,146,417
"9","District of Columbia",310,153,422
"10","Florida",7995,3902,10996
"11","Georgia",2849,1376,3952
"12","Hawaii",320,154,444
"13","Idaho",576,281,793
"14","Illinois",6140,3048,8338
"15","Indiana",2532,1237,3480
"16","Iowa",1046,508,1443
"17","Kansas",942,458,1300
"18","Kentucky",1536,748,2116
"19","Louisiana",1319,639,1825
"20","Maine",302,145,421
"21","Maryland",2055,999,2834
"22","Massachusetts",2850,1402,3896
"23","Michigan",3723,1823,5108
"24","Minnesota",2217,1087,3039
"25","Mississippi",657,316,914
"26","Missouri",1915,929,2645
"27","Montana",305,149,421
"28","Nebraska",749,367,1028
"29","Nevada",1472,727,2007
"30","New Hampshire",360,174,501
"31","New Jersey",3535,1739,4833
"32","New Mexico",788,386,1080
"33","New York",6886,3411,9370
"34","North Carolina",2543,1224,3536
"35","North Dakota",328,162,447
"36","Ohio",4687,2292,6435
"37","Oklahoma",1260,615,1734
"38","Oregon",1340,651,1849
"39","Pennsylvania",4232,2054,5844
"40","Rhode Island",421,206,577
"41","South Carolina",1140,547,1589
"42","South Dakota",349,173,475
"43","Tennessee",2006,971,2778
"44","Texas",12363,6103,16858
"45","Utah",1130,552,1553
"46","Vermont",159,76,221
"47","Virginia",2619,1270,3620
"48","Washington",2338,1133,3233
"49","West Virginia",404,194,562
"50","Wisconsin",2190,1070,3009
"51","Wyoming",179,87,247
