GEOID,YEAR,NAME,TRACT_NAME,COUNTY,STATE,NO2_mgm3
8001008533,2020,"Census Tract 85.33, Adams County, Colorado",Census Tract 85.33,Adams County,Colorado,14.32905526
8001008534,2020,"Census Tract 85.34, Adams County, Colorado",Census Tract 85.34,Adams County,Colorado,13.16505206
8001008802,2020,"Census Tract 88.02, Adams County, Colorado",Census Tract 88.02,Adams County,Colorado,14.20634652
8001008603,2020,"Census Tract 86.03, Adams County, Colorado",Census Tract 86.03,Adams County,Colorado,24.45218012
8001008604,2020,"Census Tract 86.04, Adams County, Colorado",Census Tract 86.04,Adams County,Colorado,16.23603852
8001008605,2020,"Census Tract 86.05, Adams County, Colorado",Census Tract 86.05,Adams County,Colorado,14.04540327
8001008606,2020,"Census Tract 86.06, Adams County, Colorado",Census Tract 86.06,Adams County,Colorado,18.49233031
8031008388,2020,"Census Tract 83.88, Denver County, Colorado",Census Tract 83.88,Denver County,Colorado,16.16700677
8001009309,2020,"Census Tract 93.09, Adams County, Colorado",Census Tract 93.09,Adams County,Colorado,14.7465288
8001008705,2020,"Census Tract 87.05, Adams County, Colorado",Census Tract 87.05,Adams County,Colorado,14.46353415
8001008901,2020,"Census Tract 89.01, Adams County, Colorado",Census Tract 89.01,Adams County,Colorado,16.81373101
8001009321,2020,"Census Tract 93.21, Adams County, Colorado",Census Tract 93.21,Adams County,Colorado,15.24435024
8001008402,2020,"Census Tract 84.02, Adams County, Colorado",Census Tract 84.02,Adams County,Colorado,3.281584716
8001007900,2020,"Census Tract 79, Adams County, Colorado",Census Tract 79,Adams County,Colorado,13.64748324
8001008401,2020,"Census Tract 84.01, Adams County, Colorado",Census Tract 84.01,Adams County,Colorado,5.932885053
8001009103,2020,"Census Tract 91.03, Adams County, Colorado",Census Tract 91.03,Adams County,Colorado,13.58892684
8001009408,2020,"Census Tract 94.08, Adams County, Colorado",Census Tract 94.08,Adams County,Colorado,15.07496857
8001009606,2020,"Census Tract 96.06, Adams County, Colorado",Census Tract 96.06,Adams County,Colorado,14.7465288
8001009001,2020,"Census Tract 90.01, Adams County, Colorado",Census Tract 90.01,Adams County,Colorado,16.26064026
8001009204,2020,"Census Tract 92.04, Adams County, Colorado",Census Tract 92.04,Adams County,Colorado,15.24435024
8001009307,2020,"Census Tract 93.07, Adams County, Colorado",Census Tract 93.07,Adams County,Colorado,16.26752263
8001009308,2020,"Census Tract 93.08, Adams County, Colorado",Census Tract 93.08,Adams County,Colorado,15.36096724
8001008706,2020,"Census Tract 87.06, Adams County, Colorado",Census Tract 87.06,Adams County,Colorado,13.67747261
8001008801,2020,"Census Tract 88.01, Adams County, Colorado",Census Tract 88.01,Adams County,Colorado,13.49949985
8001009101,2020,"Census Tract 91.01, Adams County, Colorado",Census Tract 91.01,Adams County,Colorado,15.24435024
8001009104,2020,"Census Tract 91.04, Adams County, Colorado",Census Tract 91.04,Adams County,Colorado,15.29273724
8001009202,2020,"Census Tract 92.02, Adams County, Colorado",Census Tract 92.02,Adams County,Colorado,16.26064026
8001009203,2020,"Census Tract 92.03, Adams County, Colorado",Census Tract 92.03,Adams County,Colorado,17.61569361
8001009304,2020,"Census Tract 93.04, Adams County, Colorado",Census Tract 93.04,Adams County,Colorado,17.88670428
8001009306,2020,"Census Tract 93.06, Adams County, Colorado",Census Tract 93.06,Adams County,Colorado,16.89706423
8093000200,2020,"Census Tract 2, Park County, Colorado",Census Tract 2,Park County,Colorado,3.965187141
8093000300,2020,"Census Tract 3, Park County, Colorado",Census Tract 3,Park County,Colorado,7.602840214
8093000400,2020,"Census Tract 4, Park County, Colorado",Census Tract 4,Park County,Colorado,5.813741146
8093000500,2020,"Census Tract 5, Park County, Colorado",Census Tract 5,Park County,Colorado,4.989002328
8059011731,2020,"Census Tract 117.31, Jefferson County, Colorado",Census Tract 117.31,Jefferson County,Colorado,11.92620598
8031004201,2020,"Census Tract 42.01, Denver County, Colorado",Census Tract 42.01,Denver County,Colorado,15.1828925
8077001707,2020,"Census Tract 17.07, Mesa County, Colorado",Census Tract 17.07,Mesa County,Colorado,19.36981536
8077001706,2020,"Census Tract 17.06, Mesa County, Colorado",Census Tract 17.06,Mesa County,Colorado,14.83186146
8001009310,2020,"Census Tract 93.10, Adams County, Colorado",Census Tract 93.10,Adams County,Colorado,14.7465288
8001009316,2020,"Census Tract 93.16, Adams County, Colorado",Census Tract 93.16,Adams County,Colorado,18.03914779
8001009318,2020,"Census Tract 93.18, Adams County, Colorado",Census Tract 93.18,Adams County,Colorado,19.56358281
8001009319,2020,"Census Tract 93.19, Adams County, Colorado",Census Tract 93.19,Adams County,Colorado,16.26064026
8035014005,2020,"Census Tract 140.05, Douglas County, Colorado",Census Tract 140.05,Douglas County,Colorado,18.05516518
8099000100,2020,"Census Tract 1, Prowers County, Colorado",Census Tract 1,Prowers County,Colorado,6.52616081
8099000600,2020,"Census Tract 6, Prowers County, Colorado",Census Tract 6,Prowers County,Colorado,4.332659691
8059011728,2020,"Census Tract 117.28, Jefferson County, Colorado",Census Tract 117.28,Jefferson County,Colorado,13.01375252
8059011729,2020,"Census Tract 117.29, Jefferson County, Colorado",Census Tract 117.29,Jefferson County,Colorado,14.01481089
8059011730,2020,"Census Tract 117.30, Jefferson County, Colorado",Census Tract 117.30,Jefferson County,Colorado,14.51533962
8031000201,2020,"Census Tract 2.01, Denver County, Colorado",Census Tract 2.01,Denver County,Colorado,16.28262549
8031003003,2020,"Census Tract 30.03, Denver County, Colorado",Census Tract 30.03,Denver County,Colorado,16.66909273
8031007006,2020,"Census Tract 70.06, Denver County, Colorado",Census Tract 70.06,Denver County,Colorado,10.71733536
8031012010,2020,"Census Tract 120.10, Denver County, Colorado",Census Tract 120.10,Denver County,Colorado,13.30463207
8031000303,2020,"Census Tract 3.03, Denver County, Colorado",Census Tract 3.03,Denver County,Colorado,16.12901573
8041006502,2020,"Census Tract 65.02, El Paso County, Colorado",Census Tract 65.02,El Paso County,Colorado,19.28765954
8031004602,2020,"Census Tract 46.02, Denver County, Colorado",Census Tract 46.02,Denver County,Colorado,14.25207376
8031004603,2020,"Census Tract 46.03, Denver County, Colorado",Census Tract 46.03,Denver County,Colorado,14.00203732
8031004700,2020,"Census Tract 47, Denver County, Colorado",Census Tract 47,Denver County,Colorado,13.60453408
8077000300,2020,"Census Tract 3, Mesa County, Colorado",Census Tract 3,Mesa County,Colorado,30.83976616
8031003402,2020,"Census Tract 34.02, Denver County, Colorado",Census Tract 34.02,Denver County,Colorado,15.00218309
8031003602,2020,"Census Tract 36.02, Denver County, Colorado",Census Tract 36.02,Denver County,Colorado,17.71144998
8013013402,2020,"Census Tract 134.02, Boulder County, Colorado",Census Tract 134.02,Boulder County,Colorado,16.25782067
8077000602,2020,"Census Tract 6.02, Mesa County, Colorado",Census Tract 6.02,Mesa County,Colorado,22.96260281
8077001002,2020,"Census Tract 10.02, Mesa County, Colorado",Census Tract 10.02,Mesa County,Colorado,20.10249636
8077001302,2020,"Census Tract 13.02, Mesa County, Colorado",Census Tract 13.02,Mesa County,Colorado,17.84432495
8077001502,2020,"Census Tract 15.02, Mesa County, Colorado",Census Tract 15.02,Mesa County,Colorado,5.523294767
8077000700,2020,"Census Tract 7, Mesa County, Colorado",Census Tract 7,Mesa County,Colorado,26.86780801
8077001900,2020,"Census Tract 19, Mesa County, Colorado",Census Tract 19,Mesa County,Colorado,4.16907369
8001008535,2020,"Census Tract 85.35, Adams County, Colorado",Census Tract 85.35,Adams County,Colorado,13.72482288
8001008540,2020,"Census Tract 85.40, Adams County, Colorado",Census Tract 85.40,Adams County,Colorado,11.18849309
