GEOID,YEAR,NAME,TRACT_NAME,COUNTY,STATE,NO2_mgm3
28067950402,2020,"Census Tract 9504.02, Jones County, Mississippi",Census Tract 9504.02,Jones County,Mississippi,10.05911949
28067950302,2020,"Census Tract 9503.02, Jones County, Mississippi",Census Tract 9503.02,Jones County,Mississippi,8.291622434
28067950301,2020,"Census Tract 9503.01, Jones County, Mississippi",Census Tract 9503.01,Jones County,Mississippi,6.511003129
28067950401,2020,"Census Tract 9504.01, Jones County, Mississippi",Census Tract 9504.01,Jones County,Mississippi,8.748960332
28017950100,2020,"Census Tract 9501, Chickasaw County, Mississippi",Census Tract 9501,Chickasaw County,Mississippi,8.258026129
28017950200,2020,"Census Tract 9502, Chickasaw County, Mississippi",Census Tract 9502,Chickasaw County,Mississippi,5.301176808
28017950300,2020,"Census Tract 9503, Chickasaw County, Mississippi",Census Tract 9503,Chickasaw County,Mississippi,8.239050101
28153950200,2020,"Census Tract 9502, Wayne County, Mississippi",Census Tract 9502,Wayne County,Mississippi,9.996921669
28047000600,2020,"Census Tract 6, Harrison County, Mississippi",Census Tract 6,Harrison County,Mississippi,19.09516998
28047000900,2020,"Census Tract 9, Harrison County, Mississippi",Census Tract 9,Harrison County,Mississippi,14.53949233
28007060600,2020,"Census Tract 606, Attala County, Mississippi",Census Tract 606,Attala County,Mississippi,9.863194336
28007060400,2020,"Census Tract 604, Attala County, Mississippi",Census Tract 604,Attala County,Mississippi,5.202232493
28007060100,2020,"Census Tract 601, Attala County, Mississippi",Census Tract 601,Attala County,Mississippi,4.544748466
28007060300,2020,"Census Tract 603, Attala County, Mississippi",Census Tract 603,Attala County,Mississippi,5.82545766
28007060500,2020,"Census Tract 605, Attala County, Mississippi",Census Tract 605,Attala County,Mississippi,11.96095425
28007060200,2020,"Census Tract 602, Attala County, Mississippi",Census Tract 602,Attala County,Mississippi,5.05702565
28047001900,2020,"Census Tract 19, Harrison County, Mississippi",Census Tract 19,Harrison County,Mississippi,10.07039748
28047002300,2020,"Census Tract 23, Harrison County, Mississippi",Census Tract 23,Harrison County,Mississippi,14.31056446
28047002500,2020,"Census Tract 25, Harrison County, Mississippi",Census Tract 25,Harrison County,Mississippi,11.12354407
28047002600,2020,"Census Tract 26, Harrison County, Mississippi",Census Tract 26,Harrison County,Mississippi,11.52795488
28113950102,2020,"Census Tract 9501.02, Pike County, Mississippi",Census Tract 9501.02,Pike County,Mississippi,6.956484859
28089030107,2020,"Census Tract 301.07, Madison County, Mississippi",Census Tract 301.07,Madison County,Mississippi,16.36225079
28047001600,2020,"Census Tract 16, Harrison County, Mississippi",Census Tract 16,Harrison County,Mississippi,11.84848103
28047001800,2020,"Census Tract 18, Harrison County, Mississippi",Census Tract 18,Harrison County,Mississippi,12.86505323
28075010301,2020,"Census Tract 103.01, Lauderdale County, Mississippi",Census Tract 103.01,Lauderdale County,Mississippi,6.282863224
28075010400,2020,"Census Tract 104, Lauderdale County, Mississippi",Census Tract 104,Lauderdale County,Mississippi,5.001003731
28075001000,2020,"Census Tract 10, Lauderdale County, Mississippi",Census Tract 10,Lauderdale County,Mississippi,7.945347359
28075000200,2020,"Census Tract 2, Lauderdale County, Mississippi",Census Tract 2,Lauderdale County,Mississippi,15.15718355
28075000900,2020,"Census Tract 9, Lauderdale County, Mississippi",Census Tract 9,Lauderdale County,Mississippi,10.21825126
28075000700,2020,"Census Tract 7, Lauderdale County, Mississippi",Census Tract 7,Lauderdale County,Mississippi,12.97563112
28047002900,2020,"Census Tract 29, Harrison County, Mississippi",Census Tract 29,Harrison County,Mississippi,10.68540206
28143950200,2020,"Census Tract 9502, Tunica County, Mississippi",Census Tract 9502,Tunica County,Mississippi,7.708029642
28151000701,2020,"Census Tract 7.01, Washington County, Mississippi",Census Tract 7.01,Washington County,Mississippi,10.63694063
28011950300,2020,"Census Tract 9503, Bolivar County, Mississippi",Census Tract 9503,Bolivar County,Mississippi,5.52306179
28011950200,2020,"Census Tract 9502, Bolivar County, Mississippi",Census Tract 9502,Bolivar County,Mississippi,7.194173984
28011950500,2020,"Census Tract 9505, Bolivar County, Mississippi",Census Tract 9505,Bolivar County,Mississippi,8.02274089
