GEOID,YEAR,NAME,TRACT_NAME,COUNTY,STATE,NO2_mgm3
45015020715,2020,"Census Tract 207.15, Berkeley County, South Carolina",Census Tract 207.15,Berkeley County,South Carolina,9.645711428
45019002103,2020,"Census Tract 21.03, Charleston County, South Carolina",Census Tract 21.03,Charleston County,South Carolina,2.061415797
45019002614,2020,"Census Tract 26.14, Charleston County, South Carolina",Census Tract 26.14,Charleston County,South Carolina,8.696187801
45019004614,2020,"Census Tract 46.14, Charleston County, South Carolina",Census Tract 46.14,Charleston County,South Carolina,7.796562103
45051070102,2020,"Census Tract 701.02, Horry County, South Carolina",Census Tract 701.02,Horry County,South Carolina,4.540755973
45051030102,2020,"Census Tract 301.02, Horry County, South Carolina",Census Tract 301.02,Horry County,South Carolina,4.112785298
45051070101,2020,"Census Tract 701.01, Horry County, South Carolina",Census Tract 701.01,Horry County,South Carolina,5.800291504
45051040101,2020,"Census Tract 401.01, Horry County, South Carolina",Census Tract 401.01,Horry County,South Carolina,3.326941083
45051040105,2020,"Census Tract 401.05, Horry County, South Carolina",Census Tract 401.05,Horry County,South Carolina,8.016722169
45063020601,2020,"Census Tract 206.01, Lexington County, South Carolina",Census Tract 206.01,Lexington County,South Carolina,15.40635962
45051051503,2020,"Census Tract 515.03, Horry County, South Carolina",Census Tract 515.03,Horry County,South Carolina,9.876918457
45051050401,2020,"Census Tract 504.01, Horry County, South Carolina",Census Tract 504.01,Horry County,South Carolina,12.89085676
45051051201,2020,"Census Tract 512.01, Horry County, South Carolina",Census Tract 512.01,Horry County,South Carolina,11.03276027
45051051302,2020,"Census Tract 513.02, Horry County, South Carolina",Census Tract 513.02,Horry County,South Carolina,9.941617101
45063020510,2020,"Census Tract 205.10, Lexington County, South Carolina",Census Tract 205.10,Lexington County,South Carolina,10.873136
45045000200,2020,"Census Tract 2, Greenville County, South Carolina",Census Tract 2,Greenville County,South Carolina,19.11238369
45063020511,2020,"Census Tract 205.11, Lexington County, South Carolina",Census Tract 205.11,Lexington County,South Carolina,12.60557041
45013000903,2020,"Census Tract 9.03, Beaufort County, South Carolina",Census Tract 9.03,Beaufort County,South Carolina,7.961400557
